,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type
6340,H,0.9871879106438897,0.9882015306122448,0.48829080740999653,0.6304945054945055,0.8300395256916996,Tool Wear Failure
6373,H,0.985545335085414,0.9869260204081632,0.6064313177210765,0.39697802197802196,0.3241106719367589,No Failure
8624,H,0.9773324572930355,0.9834183673469387,0.5207969241523943,0.5453296703296704,0.13438735177865613,No Failure
5082,H,0.9990144546649148,0.9987244897959182,0.5557497378538973,0.5961538461538461,0.20553359683794467,No Failure
3483,H,0.9917871222076216,0.9910714285714285,0.5085634393568682,0.5865384615384616,0.3359683794466403,No Failure
9239,H,0.9796320630749015,0.9846938775510203,0.5019224047535826,0.7129120879120879,0.6047430830039525,No Failure
6555,H,0.990473061760841,0.990752551020408,0.4872422229989514,0.6414835164835165,0.5138339920948617,No Failure
5282,H,0.9980289093298292,0.9987244897959182,0.482698357217756,0.7197802197802198,0.5533596837944664,No Failure
3054,H,0.9862023653088042,0.9862882653061225,0.46906675987416985,0.668956043956044,0.26877470355731226,No Failure
616,H,0.9793035479632064,0.9882015306122448,0.5893044390073401,0.39972527472527475,0.23715415019762845,No Failure
8080,H,0.9862023653088042,0.9933035714285714,0.5005242922055225,0.598901098901099,0.5019762845849802,No Failure
3514,H,0.9917871222076216,0.9917091836734693,0.4998252359314925,0.6840659340659341,0.6877470355731226,No Failure
8468,H,0.9809461235216822,0.987563775510204,0.5113596644529884,0.5370879120879122,0.2608695652173913,No Failure
4499,H,0.9940867279894877,0.9894770408163265,0.6015379238028661,0.37637362637362637,0.31225296442687744,No Failure
2180,H,0.9842312746386336,0.9859693877551019,0.5581964348130024,0.49862637362637363,0.1383399209486166,No Failure
9672,H,0.9822601839684626,0.989158163265306,0.6095770709542118,0.4326923076923077,0.0,No Failure
8381,H,0.9816031537450723,0.9885204081632653,0.5347780496329955,0.5260989010989011,0.20948616600790515,No Failure
9802,H,0.9802890932982917,0.9862882653061225,0.6934638238378189,0.26373626373626374,0.5217391304347826,No Failure
